ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths
8/28/2020,Ternopil Oblast,Ukraine,4/2/2021 15:13,5478,64
8/28/2020,Texas,US,4/2/2021 15:13,625053,12859
8/28/2020,Thuringen,Germany,4/2/2021 15:13,3592,186
8/28/2020,Tianjin,Mainland China,4/2/2021 15:13,220,3
8/28/2020,Tibet,Mainland China,4/2/2021 15:13,1,0
8/28/2020,Tlaxcala,Mexico,4/2/2021 15:13,6159,890
8/28/2020,Tocantins,Brazil,4/2/2021 15:13,48580,649
8/28/2020,Tochigi,Japan,4/2/2021 15:13,302,1
8/28/2020,Tokushima,Japan,4/2/2021 15:13,129,4
8/28/2020,Tokyo,Japan,4/2/2021 15:13,20332,358
8/28/2020,Tolima,Colombia,4/2/2021 15:13,6572,168
8/28/2020,Tomsk Oblast,Russia,4/2/2021 15:13,5494,65
8/28/2020,Toscana,Italy,4/2/2021 15:13,11595,1141
8/28/2020,Tottori,Japan,4/2/2021 15:13,22,0
8/28/2020,Toyama,Japan,4/2/2021 15:13,374,23
8/28/2020,Tripura,India,4/2/2021 15:13,10857,94
8/28/2020,Tula Oblast,Russia,4/2/2021 15:13,9167,317
8/28/2020,Tumbes,Peru,4/2/2021 15:13,5601,274
8/28/2020,Turks and Caicos Islands,UK,4/2/2021 15:13,490,3
8/28/2020,Tver Oblast,Russia,4/2/2021 15:13,5333,187
8/28/2020,Tyumen Oblast,Russia,4/2/2021 15:13,7623,30
8/28/2020,Tyva Republic,Russia,4/2/2021 15:13,6747,60
8/28/2020,Ucayali,Peru,4/2/2021 15:13,13261,292
8/28/2020,Udmurt Republic,Russia,4/2/2021 15:13,3092,45
8/28/2020,Ulyanovsk Oblast,Russia,4/2/2021 15:13,11807,91
8/28/2020,Uppsala,Sweden,4/2/2021 15:13,3762,242
8/28/2020,Utah,US,4/2/2021 15:13,50948,407
8/28/2020,Utrecht,Netherlands,4/2/2021 15:13,5350,434
8/28/2020,Uttar Pradesh,India,4/2/2021 15:13,213824,3294
8/28/2020,Uttarakhand,India,4/2/2021 15:13,17865,239
8/28/2020,Valle d'Aosta,Italy,4/2/2021 15:13,1226,146
8/28/2020,Valle del Cauca,Colombia,4/2/2021 15:13,45667,1679
8/28/2020,Valparaiso,Chile,4/2/2021 15:13,22243,674
8/28/2020,Varmland,Sweden,4/2/2021 15:13,1178,73
8/28/2020,Vasterbotten,Sweden,4/2/2021 15:13,860,31
8/28/2020,Vasternorrland,Sweden,4/2/2021 15:13,1850,133
8/28/2020,Vastmanland,Sweden,4/2/2021 15:13,2734,183
8/28/2020,Vastra Gotaland,Sweden,4/2/2021 15:13,18688,851
8/28/2020,Vaupes,Colombia,4/2/2021 15:13,251,1
8/28/2020,Veneto,Italy,4/2/2021 15:13,22604,2119
